Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2019-01-02,148.59056091308594,149.42522683753725,144.7529948947864,144.85852854585576,58576700
2019-01-03,143.7360382080078,147.0363325942289,143.41943726368572,146.4031453447369,74820200
2019-01-04,149.8857421875,150.6244778017967,145.57808336974267,146.15370953326368,74709300
2019-01-07,151.670166015625,152.40890141028765,149.77057535421324,150.25985964360962,52059300
2019-01-08,153.0421600341797,153.60819759401335,150.81636438044393,153.0613373269791,49388700
2019-01-09,154.2893524169922,154.9609235581402,152.9941679997294,153.63695856619628,46491700
2019-01-10,154.7306671142578,154.81700883985957,152.2554351729345,153.11889634641187,38943400
2019-01-11,154.1646270751953,154.32772187836127,153.30116591595123,153.81924553932828,30176600
2019-01-14,152.80233764648438,153.46432033751447,152.14994360345574,152.85989881280747,30710200
2019-01-15,155.7859649658203,155.9970322242899,153.4162672686704,153.50260897282172,40874200
2019-01-16,155.7572479248047,157.129171025259,155.69967212607142,156.04505372269332,33812200
2019-01-17,156.9852752685547,157.68562714053965,155.00893062430688,155.2583672068773,39329000
2019-01-18,158.53941345214844,159.2781488573624,157.1674909101864,158.08849836681068,57183200
2019-01-22,155.3638458251953,157.4745039796329,154.23175635962042,157.39775091085232,56711700
2019-01-23,155.56533813476562,156.87011126320553,153.80966443379512,156.16017086628847,38106100
2019-01-24,156.57269287109375,156.80295210559896,155.4789871257115,156.07380518257557,32417800
2019-01-25,158.44349670410156,158.92319244300487,157.29222985856407,157.82948674387143,36515900
2019-01-28,156.48635864257812,156.4959472881261,155.1815855295303,156.40001691518574,33491200
2019-01-29,155.00889587402344,156.6110779656563,154.45244703227593,156.57269410669278,30784200
2019-01-30,158.95196533203125,159.52760604654804,156.2752696795766,156.76455403950982,41346500
2019-01-31,161.3312530517578,162.1275496295598,159.70987932676405,159.93053523846933,37258400
2019-02-01,160.650146484375,161.7534557863761,160.2088344748997,160.53502415827822,32143700
2019-02-04,162.64564514160156,162.64564514160156,160.53498670042364,160.67888957446758,26718800
2019-02-05,164.08473205566406,164.2766074336591,162.79915092002898,162.86630071470842,28156400
2019-02-06,163.595458984375,164.41093305716106,162.85672335678316,164.12312728979774,27970000
2019-02-07,161.3984375,162.56889637041738,160.17041747843967,162.16595367326354,42036200
2019-02-08,161.71502685546875,161.74380742897307,159.805847163637,159.988119249447,29020700
2019-02-11,161.56149291992188,162.69358229329632,161.1585503210038,162.30022833751326,21434100
2019-02-12,163.9503936767578,164.19024152370955,162.45374545404314,162.7415657982154,29722100
2019-02-13,164.06553649902344,165.16884551662113,163.88326440940716,164.67954647852508,26094100
2019-02-14,164.26698303222656,164.85221232317318,162.93342968258102,163.48027512279188,30326800
2019-02-15,164.957763671875,165.5525816698193,164.19024760537025,165.51421245411217,32521700
2019-02-19,165.28399658203125,165.7828843519469,164.42054993027605,164.4493305093909,19487700
2019-02-20,165.25515747070312,166.05145403553283,164.3629305558536,165.39906031530788,32593000
2019-02-21,164.6508026123047,165.2648127286961,163.77776727121713,164.81389744831347,25207400
2019-02-22,165.86917114257812,165.98429342090142,164.91936842896,165.00572477685282,27735400
2019-02-25,166.4736328125,167.56733863964382,166.35849586706377,167.1356153519312,32608800
2019-02-26,166.6462860107422,167.1739542173071,165.79242823617392,166.07065994470418,21939700
2019-02-27,166.54078674316406,166.74226542331053,164.78509833303212,165.87880418730973,25162000
2019-02-28,166.156982421875,166.7518003463278,165.6868754124255,166.02266822476793,25085500
2019-03-01,167.3083038330078,167.55774038382415,166.1474335329206,167.35627634178329,31431200
2019-03-04,167.33706665039062,168.65142834424557,165.46625611993758,168.41158046497844,38063500
2019-03-05,167.46177673339844,167.97984166344082,166.63669951951505,167.46177673339844,22319900
2019-03-06,166.51199340820312,167.65367168353433,166.24336494802557,167.62489110845482,27194600
2019-03-07,164.46847534179688,166.14741044151705,163.85446537660815,166.08984929464816,39407400
2019-03-08,164.21905517578125,164.30539690468103,162.46336682571692,162.6264616378011,39303200
2019-03-11,167.6344757080078,167.74961264470025,164.8714380929867,164.9002186673716,30518400
2019-03-12,168.55548095703125,168.98720416829053,167.6728426071463,168.07578524693173,33953500
2019-03-13,169.8218994140625,170.70453791672466,169.1887120928868,169.4285599894522,42426100
2019-03-14,169.53404235839844,170.13844892026043,169.48606986576826,169.9369849460229,23751500
2019-03-15,171.10748291015625,171.61595924302674,170.08092696018764,170.1960492576971,38192000
2019-03-18,171.51498413085938,172.0340065942762,170.68840529331666,171.03441538032976,32935100
2019-03-19,172.09170532226562,173.0047831892718,171.36123129602294,172.21664324849357,36893300
2019-03-20,172.77406311035156,173.83132017398233,171.3131447425264,172.10126982703818,50105000
2019-03-21,175.4748992919922,175.72478978918917,172.235855595799,172.25508245428983,42428500
2019-03-22,171.62071228027344,175.18653891280096,171.4380938059512,174.7155762509065,70794500
2019-03-25,171.2938995361328,171.88979999954316,170.0540241429049,170.99594930442765,46336500
2019-03-26,172.09170532226562,173.6679705380249,171.2170665096841,172.62033398183672,33248100
2019-03-27,170.9863739013672,172.73565138039382,169.7369067486864,172.35120220507602,37096700
2019-03-28,171.38043212890625,172.02439251975136,170.35202258901165,171.42849193898618,30368200
2019-03-29,172.67800903320312,172.84140068829836,171.64958461691216,172.70684199199653,35205500
2019-04-01,174.96543884277344,175.1768902355768,173.7448049529812,174.45603721441776,30969500
2019-04-02,175.62863159179688,175.8016439486263,174.71555400225358,175.15768365566854,22645200
2019-04-03,176.6378173828125,177.73351335268276,176.08997673077326,176.6185905297855,31633500
2019-04-04,176.570556640625,177.3298487269406,175.55173868639676,176.6858884345482,28530800
